system,dataset,model,num_workers,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,samples_per_sec,num_train_samples,num_test_samples,model_params,model_size_mb,comm_mb,seed,lr,batch_size
ps,mnist,mlp,2,1,1.128001756254832,0.7529666666666667,0.4502564087510109,0.8819,9.853351700000001,9.8533535,6089.298527728386,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,2,0.38851127021312715,0.8921166666666667,0.3234577864408493,0.9073,10.650979699999999,20.5045152,5633.2846076122,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,3,0.3142732446670532,0.9086833333333333,0.2798055410385132,0.9198,10.6080891,31.112832599999997,5656.061090210866,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,4,0.2774371643622716,0.9198333333333333,0.25251168459653855,0.9269,10.604033699999995,41.7175147,5658.224190668126,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,5,0.25118646239439646,0.9278666666666666,0.23163725435733795,0.9343,10.267288100000002,51.9850534,5843.802123366928,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,6,0.2300124045789242,0.9339,0.2168372556567192,0.9374,10.0214626,62.006741299999995,5987.150019399364,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,7,0.2121105317513148,0.9392833333333334,0.19846625104546547,0.9423,10.367266799999996,72.37421,5787.4463113074335,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,8,0.19659760184486708,0.9438666666666666,0.1877374105155468,0.9451,9.916441800000001,82.2909109,6050.557368268928,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,9,0.1831530810236931,0.9477833333333333,0.17459624335169793,0.9488,9.514771999999994,91.8058953,6305.984000457398,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
ps,mnist,mlp,2,10,0.1709834505369266,0.9514333333333334,0.16656266525387764,0.9518,9.544990000000013,101.3510849,6286.0202053642715,60000,10000,269322,1.0273818969726562,1927.3684387207031,42,0.01,64
