system,dataset,model,num_workers,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,samples_per_sec,num_train_samples,num_test_samples,model_params,model_size_mb,comm_mb,seed,lr,batch_size
single,mnist,mlp,1,1,0.7610141095081965,0.8197666666666666,0.327951143682003,0.9059,8.2931765,8.293179799999999,7234.8635049549475,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,2,0.3007206854740779,0.91275,0.2567172937095165,0.926,7.904153800000001,16.1975003,7590.945408982298,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,3,0.24437713778416315,0.9292833333333334,0.22099142596125604,0.9332,7.898538800000001,24.0962187,7596.341743614654,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,4,0.20751895847717922,0.9402666666666667,0.18973240554332732,0.9451,7.960497799999999,32.056875500000004,7537.217082077456,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,5,0.1801346668044726,0.9481333333333334,0.17043449953198433,0.9502,8.0128214,40.0698924,7487.9991709287315,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,6,0.15854683052897453,0.9546666666666667,0.14927006401121617,0.9552,8.031490900000001,48.101544600000004,7470.593037713582,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,7,0.14112201141317685,0.9597166666666667,0.13462324850261212,0.9613,8.080978700000003,56.182677,7424.843230931914,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,8,0.12673891491095224,0.964,0.12415559403598309,0.9638,8.132824800000002,64.3157118,7377.510456145568,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,9,0.11431921889384587,0.9679833333333333,0.11455826722085476,0.9667,8.163282800000005,72.4791377,7349.98424898375,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
single,mnist,mlp,1,10,0.1045574403345585,0.9708,0.10758976265788078,0.9691,8.012604600000003,80.4919083,7488.20177648601,60000,10000,269322,1.0273818969726562,0.0,42,0.01,64
