system,dataset,model,num_workers,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,samples_per_sec,num_train_samples,num_test_samples,model_params,model_size_mb,comm_mb,seed,lr,batch_size
ddp,mnist,mlp,4,1,1.6547364575386048,0.65335,0.8262110650539398,0.8324,6.9474676,6.94747,8636.24034749007,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,2,0.5987735825280348,0.8587666666666667,0.449552321434021,0.8819,6.6175236,13.565547499999997,9066.835817555679,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,3,0.4157121604005496,0.8868666666666667,0.364516419172287,0.8962,6.8837022999999995,20.4497541,8716.239806012529,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,4,0.3565820151706537,0.89915,0.32403556555509566,0.9078,6.777784100000002,27.228022,8852.45075894347,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,5,0.32363562638958293,0.9072166666666667,0.2993418246507645,0.9154,6.6499622999999985,33.878548099999996,9022.6075416999,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,6,0.30068958019912245,0.9128,0.2821024678647518,0.9178,6.704867700000001,40.5839456,8948.722433404613,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,7,0.28314500762025513,0.9183833333333333,0.26413117423653604,0.9248,6.474725500000005,47.0592065,9266.80212157256,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,8,0.2679680263141791,0.9223166666666667,0.25051718279719354,0.9273,6.625612799999999,53.685543599999995,9055.76613230402,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,9,0.2550923101345698,0.9267166666666666,0.24386415854096413,0.9309,5.935293599999994,59.621652100000006,10109.019712184088,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
ddp,mnist,mlp,4,10,0.24334635790288447,0.9296666666666666,0.23118540048599243,0.9329,5.360790499999993,64.9829395,11192.379183629742,60000,10000,269322,1.0273818969726562,362.1521186828613,42,0.01,64
