world_size,data_size_mb,ring_mean_ms,ibing_mean_ms,speedup,opt_rate_percent
3,0.9999961853027344,0.8931840000000052,0.7463280000000055,1.1967713927388475,16.441852966465902
3,9.999996185302734,12.826831000000032,14.099357999999992,0.9097457487071425,-9.920821440618935
3,49.99999237060547,75.73007300000002,73.97386500000007,1.0237409252578589,2.319036454645889
4,1.0,0.3019860000000018,0.6569370000000002,0.45968791527954994,-117.53889253144064
4,10.0,21.446245999999977,22.785918000000024,0.9412061431977398,-6.246650346172696
4,50.0,124.32373300000016,110.92932199999971,1.1207472538234795,10.773816613116361
5,0.9999847412109376,0.7013780000000103,0.8382720000000055,0.8366950106886616,-19.517863406036856
5,10.0,26.78331500000003,31.90059500000012,0.839586691094631,-19.10622340811839
5,50.0,154.5912390000003,145.16478500000048,1.064936230918537,6.097663788049328
8,1.0,0.5784560000000061,1.069767000000006,0.5407308320409986,-84.93489565325534
8,10.0,47.81718099999998,53.92167099999989,0.886789673116771,-12.766310920754437
8,50.0,251.35652900000025,258.51575799999983,0.9723064115882654,-2.848236737069033
