system,dataset,model,num_workers,epochs,final_train_loss,final_train_acc,final_test_loss,final_test_acc,mean_epoch_time,total_elapsed_time,mean_samples_per_sec,final_comm_mb,mean_comm_mb,model_params,model_size_mb,seed,lr,batch_size,log_file,system_label
single,mnist,mlp,1,10,0.1045574403345585,0.9708,0.1075897626578807,0.9691,8.049037010000003,80.4919083,7455.849966081891,0.0,0.0,269322,1.0273818969726562,42,0.01,64,single_mnist_mlp_workers1_seed42.csv,Single
ps,mnist,mlp,2,10,0.1709834505369266,0.9514333333333334,0.1665626652538776,0.9518,10.13486755,101.3510849,5929.78284443839,1927.3684387207031,1927.3684387207031,269322,1.0273818969726562,42,0.01,64,ps_mnist_mlp_workers2_seed42.csv,PS-2
ps,mnist,mlp,4,10,0.2433016016821066,0.9295666666666668,0.2296794824302196,0.935,6.934826490000001,69.3502585,8678.476653244425,1931.4779663085935,1931.4779663085933,269322,1.0273818969726562,42,0.01,64,ps_mnist_mlp_workers4_seed42.csv,PS-4
ddp,mnist,mlp,2,10,0.1713055806517601,0.9509833333333332,0.1648479789495468,0.9517,17.617573309999997,176.17963070000002,3407.976444345616,481.8421096801758,481.8421096801758,269322,1.0273818969726562,42,0.01,64,ddp_mnist_mlp_workers2_seed42.csv,DDP-2
ddp,mnist,mlp,4,10,0.2433463579028844,0.9296666666666666,0.2311854004859924,0.9329,6.497773,64.9829395,9286.706385479669,362.1521186828613,362.1521186828613,269322,1.0273818969726562,42,0.01,64,ddp_mnist_mlp_workers4_seed42.csv,DDP-4
