algorithm,model,epoch,num_workers,batch_size_per_worker,local_steps,processed_samples_per_comm_round,batches_per_worker,rounds_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,virtual_time
local_sgd,mlp,1,4,64,1,256,235,235,1.0712264089663823,75.20833333333333,0.5469599233627319,86.75,24.886816024780273,24.886816024780273,235,765310400,729.8568725585938,235,24.886816024780273
local_sgd,mlp,2,4,64,1,256,235,235,0.4770220953186353,87.65166666666667,0.39794289755821227,89.26,25.585177421569824,50.482993841171265,470,1530620800,1459.7137451171875,470,50.482993841171265
local_sgd,mlp,3,4,64,1,256,235,235,0.3876886442601681,89.27166666666666,0.3469723475933075,90.44,25.25171995162964,75.7397141456604,705,2295931200,2189.5706176757812,705,75.7397141456604
local_sgd,mlp,4,4,64,1,256,235,235,0.3482180050988992,90.14,0.31978754987716673,91.07,24.995651483535767,100.73863697052002,940,3061241600,2919.427490234375,940,100.73863697052002
local_sgd,mlp,5,4,64,1,256,235,235,0.32353628038167953,90.805,0.3003784868478775,91.49,25.19393253326416,125.93656802177429,1175,3826552000,3649.2843627929688,1175,125.93656802177429
local_sgd,mlp,6,4,64,1,256,235,235,0.3053199095805486,91.28666666666666,0.2857388606309891,91.94,25.07249355316162,151.01306080818176,1410,4591862400,4379.1412353515625,1410,151.01306080818176
local_sgd,mlp,7,4,64,1,256,235,235,0.2901006020327409,91.74,0.2732017837524414,92.21,25.211880922317505,176.22894048690796,1645,5357172800,5108.998107910156,1645,176.22894048690796
local_sgd,mlp,8,4,64,1,256,235,235,0.2775047529578209,92.045,0.26417068207263944,92.46,25.130263090133667,201.36420249938965,1880,6122483200,5838.85498046875,1880,201.36420249938965
local_sgd,mlp,9,4,64,1,256,235,235,0.26634880629976593,92.39333333333333,0.25380906920433044,92.7,25.223823070526123,226.5920250415802,2115,6887793600,6568.711853027344,2115,226.5920250415802
local_sgd,mlp,10,4,64,1,256,235,235,0.25610794926186403,92.66,0.2459566313624382,92.85,25.2252676486969,251.8212926387787,2350,7653104000,7298.5687255859375,2350,251.8212926387787
