algorithm,model,epoch,num_workers,batch_size_per_worker,effective_batch_size,steps_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,worker_delays,max_worker_delay,epoch_virtual_time,virtual_time
sync_sgd,mlp,1,4,64,256,235,1.0712264010429382,75.20833333333333,0.546959912776947,86.75,21.54518485069275,21.54518485069275,235,765310400,729.8568725585938,235,1-1-1-1,1.0,235.0,235.0
sync_sgd,mlp,2,4,64,256,235,0.4770219462394714,87.65166666666667,0.3979421692609787,89.26,21.96914052963257,43.52432465553284,470,1530620800,1459.7137451171875,470,1-1-1-1,1.0,235.0,470.0
sync_sgd,mlp,3,4,64,256,235,0.38768805966178577,89.27,0.3469715584754944,90.44,21.768534898757935,65.29685974121094,705,2295931200,2189.5706176757812,705,1-1-1-1,1.0,235.0,705.0
sync_sgd,mlp,4,4,64,256,235,0.3482171990553538,90.14,0.31978644654750826,91.07,21.957181215286255,87.25704073905945,940,3061241600,2919.427490234375,940,1-1-1-1,1.0,235.0,940.0
sync_sgd,mlp,5,4,64,256,235,0.3235345693230629,90.80666666666667,0.30037388875484466,91.49,21.84381675720215,109.10485768318176,1175,3826552000,3649.2843627929688,1175,1-1-1-1,1.0,235.0,1175.0
sync_sgd,mlp,6,4,64,256,235,0.3053165421485901,91.28666666666666,0.2857352747440338,91.94,21.7878634929657,130.89672207832336,1410,4591862400,4379.1412353515625,1410,1-1-1-1,1.0,235.0,1410.0
sync_sgd,mlp,7,4,64,256,235,0.2900975090901057,91.74,0.2731996089220047,92.22,21.69408106803894,152.5948028564453,1645,5357172800,5108.998107910156,1645,1-1-1-1,1.0,235.0,1645.0
sync_sgd,mlp,8,4,64,256,235,0.2775021747450034,92.04666666666667,0.2641688764572144,92.46,22.155765533447266,174.75456857681274,1880,6122483200,5838.85498046875,1880,1-1-1-1,1.0,235.0,1880.0
sync_sgd,mlp,9,4,64,256,235,0.2663466150244077,92.39166666666667,0.25380773496627806,92.7,23.481418132781982,198.2399923801422,2115,6887793600,6568.711853027344,2115,1-1-1-1,1.0,235.0,2115.0
sync_sgd,mlp,10,4,64,256,235,0.2561051207870245,92.66,0.2459554824233055,92.85,24.324869632720947,222.57486081123352,2350,7653104000,7298.5687255859375,2350,1-1-1-1,1.0,235.0,2350.0
