algorithm,model,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,virtual_time,epoch_virtual_time,comm_round,async_updates,comm_bytes,comm_mb,epoch_comm_bytes,epoch_comm_mb,avg_staleness,max_staleness,min_staleness,num_workers,batch_size,lr,worker_delays,server_version
async_sgd,mlp,1,0.5843126353363196,84.82333333333332,0.3265737651586533,90.72,25.11269974708557,25.11269974708557,235.0,235.0,940,940,765310400,729.8568725585938,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,940
async_sgd,mlp,2,0.3035873360753059,91.33333333333333,0.27368853321075437,91.96,25.627496480941772,50.740196228027344,470.0,235.0,1880,940,1530620800,1459.7137451171875,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,1880
async_sgd,mlp,3,0.2556187983224789,92.69666666666667,0.2342963377594948,93.4,25.644227504730225,76.38442373275757,705.0,235.0,2820,940,2295931200,2189.5706176757812,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,2820
async_sgd,mlp,4,0.22326601894497872,93.69166666666666,0.20815021545886994,94.02000000000001,25.50233268737793,101.8867564201355,940.0,235.0,3760,940,3061241600,2919.427490234375,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,3760
async_sgd,mlp,5,0.19828633271356425,94.45833333333333,0.18762361579537393,94.65,25.350035190582275,127.23679161071777,1175.0,235.0,4700,940,3826552000,3649.2843627929688,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,4700
async_sgd,mlp,6,0.17858813850184282,94.955,0.17176661254167558,95.09,25.316890478134155,152.55368208885193,1410.0,235.0,5640,940,4591862400,4379.1412353515625,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,5640
async_sgd,mlp,7,0.16204137051800888,95.49166666666666,0.15830301277041436,95.47,25.34479832649231,177.89848041534424,1645.0,235.0,6580,940,5357172800,5108.998107910156,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,6580
async_sgd,mlp,8,0.14880773499906064,95.86166666666666,0.14922527053952217,95.82000000000001,25.596415281295776,203.49489569664001,1880.0,235.0,7520,940,6122483200,5838.85498046875,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,7520
async_sgd,mlp,9,0.13752250954012077,96.155,0.1385681053638458,96.0,26.426904439926147,229.92180013656616,2115.0,235.0,8460,940,6887793600,6568.711853027344,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,8460
async_sgd,mlp,10,0.12772841197972495,96.47333333333333,0.13239481828212737,96.15,27.03884744644165,256.9606475830078,2350.0,235.0,9400,940,7653104000,7298.5687255859375,765310400,729.8568725585938,2.9936170212765956,3,0,4,64,0.01,1-1-1-1,9400
