algorithm,model,epoch,num_workers,batch_size_per_worker,local_steps,processed_samples_per_comm_round,batches_per_worker,rounds_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,virtual_time
local_sgd,mlp,1,4,64,5,1280,235,47,1.0722993163545926,75.08166666666666,0.5472235149860382,86.72,22.713608741760254,22.713608741760254,47,153062080,145.97137451171875,47,22.713608741760254
local_sgd,mlp,2,4,64,5,1280,235,47,0.47772583407560987,87.63666666666667,0.39795112888813017,89.26,23.17266082763672,45.89826965332031,94,306124160,291.9427490234375,94,45.89826965332031
local_sgd,mlp,3,4,64,5,1280,235,47,0.3882586416184902,89.30833333333334,0.3468888531923294,90.42,22.659061670303345,68.56233406066895,141,459186240,437.91412353515625,141,68.56233406066895
local_sgd,mlp,4,4,64,5,1280,235,47,0.34879477859338126,90.07166666666667,0.3197471417188644,91.09,22.781136512756348,91.3474702835083,188,612248320,583.885498046875,188,91.3474702835083
local_sgd,mlp,5,4,64,5,1280,235,47,0.32406871973276136,90.8,0.30024881324768066,91.49,23.014342308044434,114.36581468582153,235,765310400,729.8568725585938,235,114.36581468582153
local_sgd,mlp,6,4,64,5,1280,235,47,0.3056841617941856,91.23833333333333,0.28560340065956114,91.94,22.931180953979492,137.30099606513977,282,918372480,875.8282470703125,282,137.30099606513977
local_sgd,mlp,7,4,64,5,1280,235,47,0.2904116950452328,91.73,0.27305580463409423,92.26,22.978195428848267,160.28319144248962,329,1071434560,1021.7996215820312,329,160.28319144248962
local_sgd,mlp,8,4,64,5,1280,235,47,0.27788110937277477,92.05666666666667,0.264050306892395,92.45,22.873034715652466,183.16022610664368,376,1224496640,1167.77099609375,376,183.16022610664368
local_sgd,mlp,9,4,64,5,1280,235,47,0.26644414508740105,92.39666666666666,0.253672997045517,92.73,22.921125888824463,206.08635807037354,423,1377558720,1313.7423706054688,423,206.08635807037354
local_sgd,mlp,10,4,64,5,1280,235,47,0.2563384158919255,92.64666666666666,0.24572210681438447,92.89,22.850850105285645,228.94120335578918,470,1530620800,1459.7137451171875,470,228.94120335578918
