algorithm,model,epoch,num_workers,batch_size_per_worker,local_steps,processed_samples_per_comm_round,batches_per_worker,rounds_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,virtual_time
local_sgd,mlp,1,4,64,10,2560,235,24,1.0621805662157953,75.25130548302872,0.5394544431209565,87.01,22.27802848815918,22.27802848815918,24,78159360,74.53857421875,24,22.27802848815918
local_sgd,mlp,2,4,64,10,2560,235,24,0.4738402172923088,87.65013054830287,0.3937414492607117,89.41,22.758358240127563,45.04738736152649,48,156318720,149.0771484375,48,45.04738736152649
local_sgd,mlp,3,4,64,10,2560,235,24,0.38607659962602137,89.36031331592689,0.3461629420518875,90.43,22.682876348495483,67.73525977134705,72,234478080,223.61572265625,72,67.73525977134705
local_sgd,mlp,4,4,64,10,2560,235,24,0.346036641986423,90.11912532637076,0.3176327225923538,91.05,22.596214532852173,90.33548498153687,96,312637440,298.154296875,96,90.33548498153687
local_sgd,mlp,5,4,64,10,2560,235,24,0.3230337248341844,90.80124020887729,0.29854543182849885,91.57,20.530678749084473,110.87016367912292,120,390796800,372.69287109375,120,110.87016367912292
local_sgd,mlp,6,4,64,10,2560,235,24,0.3059753235808863,91.26631853785901,0.28416953845024107,92.06,21.676467418670654,132.54963159561157,144,468956160,447.2314453125,144,132.54963159561157
local_sgd,mlp,7,4,64,10,2560,235,24,0.2878831329315356,91.81951697127937,0.2713711380958557,92.39,22.412777423858643,154.96740984916687,168,547115520,521.77001953125,168,154.96740984916687
local_sgd,mlp,8,4,64,10,2560,235,24,0.2754757696728638,92.07408616187989,0.2614643333911896,92.59,24.14427351951599,179.12068271636963,192,625274880,596.30859375,192,179.12068271636963
local_sgd,mlp,9,4,64,10,2560,235,24,0.2656236556390247,92.40698433420366,0.25159399119615555,92.8,23.773269414901733,202.89895153045654,216,703434240,670.84716796875,216,202.89895153045654
local_sgd,mlp,10,4,64,10,2560,235,24,0.2533831983133567,92.72030026109661,0.24489858310222626,93.04,23.86774230003357,226.77169275283813,240,781593600,745.3857421875,240,226.77169275283813
