algorithm,model,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,virtual_time
centralized_sgd,mlp,1,0.5756990261554717,85.42,0.32205271537303926,91.09,22.66424584388733,22.66424584388733,0,0,22.66424584388733
centralized_sgd,mlp,2,0.3038068217277527,91.30833333333334,0.26556923429965973,92.46,24.649988889694214,47.33223366737366,0,0,47.33223366737366
centralized_sgd,mlp,3,0.2558056570450465,92.725,0.234635438144207,93.19,23.45349669456482,70.78872895240784,0,0,70.78872895240784
centralized_sgd,mlp,4,0.22345572951634726,93.70666666666666,0.20892441383600235,93.97,21.858976364135742,92.65170502662659,0,0,92.65170502662659
centralized_sgd,mlp,5,0.1987280676285426,94.38166666666666,0.19172581783533096,94.51,24.85840344429016,117.51310992240906,0,0,117.51310992240906
centralized_sgd,mlp,6,0.1790900735616684,94.93666666666667,0.17253836948275567,95.07,23.887995958328247,141.4051055908203,0,0,141.4051055908203
centralized_sgd,mlp,7,0.16315771820545197,95.40833333333333,0.1577312204360962,95.44,22.519653797149658,163.9287564754486,0,0,163.9287564754486
centralized_sgd,mlp,8,0.14981068296631178,95.86666666666666,0.14724940869808198,95.68,22.078734159469604,186.011488199234,0,0,186.011488199234
centralized_sgd,mlp,9,0.13815033893187842,96.18,0.13856048491895198,95.96,22.174169540405273,208.18965768814087,0,0,208.18965768814087
centralized_sgd,mlp,10,0.12874040508667628,96.415,0.13118082927465438,96.3,20.960906505584717,229.15456748008728,0,0,229.15456748008728
